2078,P,ELD79 / UTM zone 33N,33.06;12;22.51;18.01
2079,P,ELD79 / UTM zone 34N,33;17.99;19.5;24
2080,P,ELD79 / UTM zone 35N,32.15;24;19.99;25.21
2081,P,Chos Malal 1914 / Argentina 2,-31.91;-70.51;-43.41;-67.49
2082,P,Pampa del Castillo / Argentina 2,-42.49;-70.5;-50.34;-67.49
2083,P,Hito XVIII 1963 / Argentina 2,-52.59;-68.64;-54.9;-67.5
2084,P,Hito XVIII 1963 / UTM zone 19S,-51.65;-68.62;-54.61;-66
2087,P,ELD79 / TM 12 NE,33.23;9.31;22.61;15
2088,P,Carthage / TM 11 NE,38.41;7.81;33.22;13.67
2089,P,Yemen NGN96 / UTM zone 38N,17.95;42;11.57;48.01
2090,P,Yemen NGN96 / UTM zone 39N,19;48;9.45;54.01
2093,P,Hanoi 1972 / GK 106 NE,11.04;105.49;9.03;107.58
2094,P,WGS 72BE / TM 106 NE,11.15;106.54;7.99;110
2095,P,Bissau / UTM zone 28N,12.69;-16.77;10.87;-13.64
2096,P,Korean 1985 / East Belt,38.64;128;34.49;129.65
2097,P,Korean 1985 / Central Belt,38.33;126;33.96;128
2098,P,Korean 1985 / West Belt,38.04;124.53;33.99;126
2099,P,Qatar 1948 / Qatar Grid,26.2;50.69;24.55;51.68
2100,P,GGRS87 / Greek Grid,41.75;19.57;34.88;28.3
2101,P,Lake / Maracaibo Grid M1,11;-72.25;10;-71.5
2102,P,Lake / Maracaibo Grid,11;-72.25;10;-71.5
2103,P,Lake / Maracaibo Grid M3,11;-72.25;10;-71.5
2104,P,Lake / Maracaibo La Rosa Grid,10.51;-71.5;10;-71.17
2105,P,NZGD2000 / Mount Eden 2000,-34.1;171.99;-39.01;176.12
2106,P,NZGD2000 / Bay of Plenty 2000,-37.22;175.75;-39.13;177.23
2107,P,NZGD2000 / Poverty Bay 2000,-37.49;176.73;-39.04;178.63
2108,P,NZGD2000 / Hawkes Bay 2000,-38.87;175.8;-40.57;178.07
2109,P,NZGD2000 / Taranaki 2000,-38.4;173.68;-39.78;175.44
2110,P,NZGD2000 / Tuhirangi 2000,-38.87;174.88;-39.55;176.33
2111,P,NZGD2000 / Wanganui 2000,-39.46;174.4;-40.97;176.27
2112,P,NZGD2000 / Wairarapa 2000,-40.29;175.01;-41.67;176.55
2113,P,NZGD2000 / Wellington 2000,-40.91;174.52;-41.5;175.36
2114,P,NZGD2000 / Collingwood 2000,-40.44;172.16;-41.22;173.13
2115,P,NZGD2000 / Nelson 2000,-40.66;172.4;-42.18;174.08
2116,P,NZGD2000 / Karamea 2000,-40.75;171.96;-41.49;172.7
2117,P,NZGD2000 / Buller 2000,-41.42;171.27;-42.19;172.41
2118,P,NZGD2000 / Grey 2000,-41.5;171.15;-42.74;172.75
2119,P,NZGD2000 / Amuri 2000,-42.09;171.88;-42.95;173.55
2120,P,NZGD2000 / Marlborough 2000,-40.85;172.95;-42.65;174.46
2121,P,NZGD2000 / Hokitika 2000,-42.41;170.39;-43.23;171.89
2122,P,NZGD2000 / Okarito 2000,-43;169.21;-43.85;170.89
2123,P,NZGD2000 / Jacksons Bay 2000,-43.67;168.02;-44.4;170.01
2124,P,NZGD2000 / Mount Pleasant 2000,-42.69;171.11;-43.96;173.38
2125,P,NZGD2000 / Gawler 2000,-43.13;170.68;-44.25;172.26
2126,P,NZGD2000 / Timaru 2000,-43.35;169.82;-44.98;171.55
2127,P,NZGD2000 / Lindis Peak 2000,-43.71;168.62;-45.4;170.24
2128,P,NZGD2000 / Mount Nicholas 2000,-44.29;167.72;-45.58;169.11
2129,P,NZGD2000 / Mount York 2000,-44.53;166.37;-46.33;168.21
2130,P,NZGD2000 / Observation Point 2000,-44.61;169.77;-45.82;171.24
2131,P,NZGD2000 / North Taieri 2000,-45.23;168.64;-46.73;170.87
2132,P,NZGD2000 / Bluff 2000,-45.33;167.29;-47.33;168.97
2133,P,NZGD2000 / UTM zone 58S,-39.68;162;-55.89;168
2134,P,NZGD2000 / UTM zone 59S,-30.78;168;-55.95;174
2135,P,NZGD2000 / UTM zone 60S,-26.42;174;-54.32;180
2136,P,Accra / Ghana National Grid,11.16;-3.25;4.67;1.23
2137,P,Accra / TM 1 NW,6.06;-3.79;1.4;2.1
2138,P,NAD27(CGQ77) / Quebec Lambert,62.62;-79.85;44.99;-57.1
2154,P,RGF93 v1 / Lambert-93,51.56;-9.86;41.15;10.38
2157,P,IRENET95 / Irish Transverse Mercator,55.43;-10.56;51.39;-5.34
2158,P,IRENET95 / UTM zone 29N,55.43;-10.56;51.39;-5.34
2159,P,Sierra Leone 1924 / New Colony Grid,8.55;-13.34;8.32;-13.13
2160,P,Sierra Leone 1924 / New War Office Grid,8.55;-13.34;8.32;-13.13
2161,P,Sierra Leone 1968 / UTM zone 28N,9.94;-13.35;7.15;-12
2162,P,Sierra Leone 1968 / UTM zone 29N,10;-12;6.88;-10.26
2164,P,Locodjo 1965 / TM 5 NW,5.19;-7.55;1.02;-3.11
2165,P,Abidjan 1987 / TM 5 NW,5.19;-7.55;1.02;-3.11
2169,P,LUREF / Luxembourg TM,50.19;5.73;49.44;6.53
2172,P,Pulkovo 1942(58) / Poland zone II,54.51;19;51.33;23.95
2173,P,Pulkovo 1942(58) / Poland zone III,54.89;14.14;52.16;20
2174,P,Pulkovo 1942(58) / Poland zone IV,53.34;14.14;49.39;19.09
2175,P,Pulkovo 1942(58) / Poland zone V,51.34;18.33;49.39;19.67
2176,P,ETRF2000-PL / CS2000/15,55.35;14.14;50.26;16.5
2177,P,ETRF2000-PL / CS2000/18,55.93;16.5;49.39;19.5
2178,P,ETRF2000-PL / CS2000/21,54.55;19.5;49.09;22.5
